id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1025026792004890925,To the beach,404626824,Dan,,Ward 74,-34.04097734485179,18.357686286267285,Entire home/apt,,1,2,2024-02-16,0.42,1,0,2,
1025035139648331910,View 16 | Family Escape,543521897,Thibault,,Ward 54,-33.967198,18.3811976,Entire home/apt,3450,2,10,2024-04-24,1.48,7,337,10,
1025038329153521940,Home with Mountain views,366338462,Althea,,Ward 84,-34.064037221125474,18.86481716613655,Entire home/apt,,5,1,2024-01-01,0.16,1,0,1,
1023581843323849412,Family home in Plumstead,60032257,Sam,,Ward 63,-34.017601447967046,18.47459016320059,Entire home/apt,1650,2,4,2024-06-20,0.65,1,268,4,
1023598431361100561,Portswood 103,533223575,Host Agents,,Ward 115,-33.910093026267475,18.411961371904777,Entire home/apt,1983,1,6,2024-05-18,1.19,24,335,6,
1023603491476958534,Spacious Retro Studio in the City,53419956,Janina,,Ward 115,-33.92609,18.41593,Entire home/apt,414,1,10,2024-04-15,1.40,29,25,10,
1025044252395083829,View16 | Villa | Ocean Glow Oasis,543521897,Thibault,,Ward 54,-33.967198,18.3811976,Entire home/apt,999538,5,0,,,7,167,0,
1023606449015204552,The Avant 1 Bedr in Sea Point.,3886732,Koos,,Ward 54,-33.9222085,18.3842254,Entire home/apt,1002,1,13,2024-05-12,1.73,83,148,13,
1025054519657306901,It’s all you need,45730290,Peter,,Ward 115,-33.92929560143805,18.445768871524418,Entire home/apt,520,30,11,2024-04-30,1.53,7,57,11,
1023609750821441614,5 min walk to Muizenberg Beach,268563574,Nicholas,,Ward 64,-34.1036083,18.471856,Entire home/apt,2107,5,3,2024-04-05,0.50,1,364,3,
1025054689537439531,Sea Point Retreat - Townhouse with hot tub,6632489,Turnkey365,,Ward 54,-33.91273918234193,18.397216673660257,Entire home/apt,3841,1,11,2024-05-24,1.52,54,349,11,
1025070400177809394,Coral Island 204,532164255,Host Agents,,Ward 23,-33.810623787273876,18.4711923147624,Entire home/apt,1450,1,8,2024-06-17,1.28,23,355,8,
1023621896197354336,Comfort Living in Green Point Apartment | Pool,546260237,Chregan,,Ward 115,-33.9078541,18.404856,Entire home/apt,1922,2,4,2024-03-11,0.58,1,345,4,
1025080316583901529,View 16 | Serenity Skyline Penthouse,543521897,Thibault,,Ward 54,-33.967198,18.3811976,Entire home/apt,5750,2,5,2024-06-20,0.94,7,241,5,
1023649801129165847,New York Style Loft in the Cape District,546264445,Propr,,Ward 115,-33.9282108,18.4231856,Entire home/apt,1237,2,2,2024-03-31,0.36,4,317,2,
1025090860227283431,Luxury Apartment with No Power Cuts - Central,511672543,Humari,,Ward 115,-33.9159129883557,18.42212781995757,Entire home/apt,950,1,10,2024-06-24,1.68,5,256,10,
1023650321736494693,Ocean & Mountain Views From Bantry Bay Apartment,546264402,Chregan,,Ward 54,-33.9283789,18.3764551,Entire home/apt,1215,2,15,2024-06-16,2.22,1,354,15,
1025091375367315767,Impressive 3 Bedroom on Canal,51293298,Joey & Nic,,Ward 55,-33.89192338878891,18.51455036224983,Entire home/apt,1750,2,0,,,18,80,0,
1023654654101580231,10 Bedroom house to Rent,538986713,Godfrey,,Ward 14,-33.97601,18.70045,Entire home/apt,5200,2,4,2024-05-20,0.59,1,191,4,
1025092696105455405,Bally Gove,214058455,Vivienne,,Ward 23,-33.73255044229297,18.447008840739727,Entire home/apt,,7,0,,,1,0,0,
1023717066822665343,"Stunning Studio Apartment with balcony, Woodstock!",449048067,James,,Ward 115,-33.92717,18.44238,Entire home/apt,498,2,5,2024-05-31,0.69,15,359,5,
1025095018839796152,Cape Town Cottage,50565489,Janna And Monika,,Ward 77,-33.93672,18.42294,Entire home/apt,761,1,3,2024-06-15,0.49,7,74,3,
1025096973390374084,Family home ideal for family,546587774,Lebogang,,Ward 74,-34.04494416345303,18.345246501266956,Entire home/apt,3571,2,2,2024-02-29,0.43,1,263,2,
1025099505699631207,The Ivory 208,533223575,Host Agents,,Ward 54,-33.92462330403387,18.383006813491818,Entire home/apt,950,2,8,2024-04-15,1.19,24,357,8,
1023733280362866622,City pad with mountain views (NO load shedding),66300462,Syntyche,,Ward 115,-33.913662656176484,18.418087682721314,Entire home/apt,,2,15,2024-06-05,2.28,1,0,15,
1025159780149954870,The Portswood Luxury Stay *No Load Shedding*,237367557,Stay,,Ward 115,-33.90900024296078,18.41226036459985,Entire home/apt,1493,1,5,2024-02-15,0.67,32,364,5,
1025173737546034564,"Modern Tranquil Studio Apartment, Cape Town CBD!",449048067,James,,Ward 115,-33.92746056328892,18.41569331089624,Entire home/apt,490,2,6,2024-05-28,0.84,15,333,6,
1023737900294652918,"BoKaap gem with Hot Tub, Pool and BBQ on Patio",546266465,Hezron,,Ward 77,-33.924827676916564,18.411700557672102,Entire home/apt,3000,2,16,2024-05-13,2.65,1,209,16,
1025178484037821107,Sunny room in a lovely home.,44024725,Sally,,Ward 23,-33.7991063,18.4759718,Private room,541,1,6,2024-02-09,0.87,1,269,6,
1023738654071092222,Bo Kaap Bliss: 3-Bed Home with Spectacular Views,394103065,James,,Ward 77,-33.9215703,18.4112567,Entire home/apt,1589,2,13,2024-06-09,2.53,26,148,13,
1025196081858466793,The Lemon Tree Suite,55236683,Tessa,,Ward 62,-34.001257340007136,18.460494077979913,Entire home/apt,930,2,2,2023-12-14,0.29,4,236,2,
1023738982134646818,Two Bedroom House with Views of Lions Head,369636918,Luna,,Ward 54,-33.9221557,18.3868699,Entire home/apt,1346,2,10,2024-02-25,1.42,81,271,10,
1025202502829905761,Penthouse on Napier,127304448,Deborah,,Ward 115,-33.9151204,18.4172694,Entire home/apt,10286,3,10,2024-06-22,1.94,27,128,10,
1023756596964291535,One Thibault - Luxury Studio,546283601,Chantal,,Ward 115,-33.9181195,18.4234149,Entire home/apt,2000,1,1,2024-02-08,0.21,2,363,1,
1023764939208912426,"Mayphil - apartment in Sea point hub, near beach",34103897,Jean,,Ward 54,-33.91915153645147,18.38658043914793,Entire home/apt,1664,2,1,2024-02-26,0.24,2,251,1,
1025230552391015224,Dolphin Beach Estate A11 131m²,40558567,Ralf,,Ward 107,-33.831065611734296,18.48222413813399,Entire home/apt,1998,10,0,,,1,275,0,
1023817657214780509,Belina -Crystal Towers Penthouse,216536076,Mthabisi,,Ward 55,-33.8938117,18.507214,Entire home/apt,4600,1,0,,,11,270,0,
1023835960600334517,Contemporary Studio in Seapoint with Sea View,218745884,Jayson,,Ward 54,-33.92415930000001,18.3818729,Entire home/apt,851,2,20,2024-06-24,2.94,96,303,20,
1025249375768855374,Danbury on Loop - Designer Apt in Cape Town,6632489,Turnkey365,,Ward 115,-33.92631,18.41312,Entire home/apt,1320,1,5,2024-03-29,0.74,54,340,5,
1025258911761127790,Fern Cottage,546618086,Arlene,,Ward 73,-34.0250371,18.4702893,Entire home/apt,841,2,1,2024-01-02,0.17,1,115,1,
1023846115072973622,15 Centauri,277016663,Chuma,,Ward 104,-33.8024964,18.5289024,Entire home/apt,600,7,2,2024-04-02,0.36,1,112,2,
